Date,AAPL,BABA,IBM,MSFT,GOOGL,GME
2019-11-29,66.24044799804688,200.0,127.75028228759766,149.79315185546875,1304.0899658203125,6.340000152587891
2019-12-02,65.47456359863281,196.30999755859375,126.28703308105469,147.98233032226562,1288.8599853515625,6.170000076293945
2019-12-03,64.3071517944336,194.89999389648438,125.53638458251953,147.74484252929688,1294.739990234375,6.119999885559082
2019-12-04,64.87474060058594,193.74000549316406,125.41287231445312,148.2791748046875,1318.93994140625,6.429999828338623
2019-12-05,65.82652282714844,200.0,125.33684539794922,148.3583526611328,1326.9599609375,6.400000095367432
2019-12-06,67.09803009033203,201.88999938964844,126.5815658569336,150.15927124023438,1339.3900146484375,6.679999828338623
2019-12-09,66.15865325927734,198.74000549316406,127.24668884277344,149.7733612060547,1342.989990234375,6.329999923706055
2019-12-10,66.54531860351562,200.4499969482422,127.23719787597656,149.54579162597656,1342.8900146484375,6.510000228881836
2019-12-11,67.1129150390625,204.63999938964844,127.09467315673828,150.10977172851562,1344.25,5.53000020980835
2019-12-12,67.28392791748047,204.5,128.57693481445312,151.6336669921875,1348.489990234375,5.579999923706055
2019-12-13,68.19853973388672,204.91000366210938,127.52225494384766,152.91012573242188,1346.8699951171875,5.449999809265137
2019-12-16,69.36595153808594,206.97000122070312,127.44623565673828,153.89964294433594,1360.699951171875,5.5
2019-12-17,69.50227355957031,208.17999267578125,127.53174591064453,153.06845092773438,1354.8900146484375,6.059999942779541
2019-12-18,69.33621215820312,210.0,127.71227264404297,152.75181579589844,1351.9100341796875,6.159999847412109
2019-12-19,69.40560913085938,210.1300048828125,127.85481262207031,154.0777587890625,1356.43994140625,6.059999942779541
2019-12-20,69.26185607910156,212.25,128.83348083496094,155.75994873046875,1351.219970703125,5.989999771118164
2019-12-23,70.39208984375,214.8300018310547,128.79547119140625,155.75994873046875,1350.6300048828125,5.610000133514404
2019-12-24,70.4590072631836,214.25999450683594,128.25387573242188,155.73025512695312,1344.4300537109375,5.440000057220459
2019-12-26,71.85694122314453,216.3800048828125,128.1873779296875,157.00672912597656,1362.469970703125,5.400000095367432
2019-12-27,71.82967376708984,215.47000122070312,128.5294189453125,157.29368591308594,1354.6400146484375,5.900000095367432
2019-12-30,72.25599670410156,212.91000366210938,126.19200897216797,155.93804931640625,1339.7099609375,6.130000114440918
2019-12-31,72.783935546875,212.10000610351562,127.36070251464844,156.04689025878906,1339.3900146484375,6.079999923706055
2020-01-02,74.4446029663086,219.77000427246094,128.6719512939453,158.936279296875,1368.6800537109375,6.309999942779541
2020-01-03,73.72084045410156,217.0,127.64575958251953,156.95726013183594,1361.52001953125,5.880000114440918
2020-01-06,74.30826568603516,216.63999938964844,127.41773986816406,157.3629608154297,1397.81005859375,5.849999904632568
2020-01-07,73.95879364013672,217.6300048828125,127.50324249267578,155.9281768798828,1395.1099853515625,5.519999980926514
2020-01-08,75.14852142333984,218.0,128.5674285888672,158.41183471679688,1405.0400390625,5.71999979019165
2020-01-09,76.7447280883789,221.77999877929688,129.92617797851562,160.390869140625,1419.7900390625,5.550000190734863
2020-01-10,76.91822052001953,223.8300018310547,129.878662109375,159.6487274169922,1428.9599609375,5.429999828338623
2020-01-13,78.56153106689453,230.47999572753906,129.7931671142578,161.5684051513672,1440.030029296875,5.429999828338623
2020-01-14,77.50070190429688,226.49000549316406,129.05201721191406,160.43045043945312,1430.5899658203125,4.710000038146973
2020-01-15,77.16856384277344,225.05999755859375,129.81214904785156,161.46945190429688,1439.199951171875,4.610000133514404
2020-01-16,78.13522338867188,223.94000244140625,131.10438537597656,164.42811584472656,1450.1600341796875,4.619999885559082
2020-01-17,79.000244140625,227.42999267578125,131.41793823242188,165.34835815429688,1479.52001953125,4.75
2020-01-21,78.46488189697266,222.25999450683594,132.23509216308594,164.75465393066406,1482.25,4.590000152587891
2020-01-22,78.74495697021484,222.3699951171875,136.71987915039062,163.96304321289062,1483.8699951171875,4.559999942779541
2020-01-23,79.12418365478516,219.1300048828125,135.75071716308594,164.97235107421875,1484.68994140625,4.619999885559082
2020-01-24,78.89614868164062,213.75,133.55581665039062,163.30995178222656,1466.1700439453125,4.320000171661377
2020-01-27,76.57618713378906,205.47000122070312,131.71249389648438,160.57888793945312,1431.72998046875,4.28000020980835
2020-01-28,78.74247741699219,210.22999572753906,132.5961456298828,163.72555541992188,1450.5,4.210000038146973
2020-01-29,80.3907470703125,212.02000427246094,130.82884216308594,166.27850341796875,1456.699951171875,4.130000114440918
2020-01-30,80.27424621582031,208.5800018310547,129.95468139648438,170.9688262939453,1454.25,3.930000066757202
2020-01-31,76.7149887084961,206.58999633789062,136.56785583496094,168.445556640625,1432.780029296875,3.8399999141693115
2020-02-03,76.50431060791016,213.10000610351562,138.98130798339844,172.5520477294922,1482.5999755859375,3.950000047683716
2020-02-04,79.02999877929688,222.8800048828125,141.67977905273438,178.23187255859375,1445.4100341796875,4.070000171661377
2020-02-05,79.6744384765625,220.22000122070312,148.5399932861328,178.01419067382812,1446.050048828125,4.179999828338623
2020-02-06,80.60638427734375,220.89999389648438,148.9485626220703,181.70509338378906,1475.969970703125,4.139999866485596
2020-02-07,79.51072692871094,216.52999877929688,147.28761291503906,181.9623565673828,1479.1099853515625,3.809999942779541
2020-02-10,79.88835906982422,215.77000427246094,148.2668914794922,186.72193908691406,1508.6600341796875,3.940000057220459
2020-02-11,79.4063720703125,217.2100067138672,147.35479736328125,182.50660705566406,1510.06005859375,4.019999980926514
2020-02-12,81.29209899902344,224.30999755859375,149.11178588867188,182.77377319335938,1518.6300048828125,4.190000057220459
